r1,r2,r3,r4,q1,q2,q3,q4,q5,q6
9999.0,9999.0,0.61,9999.0,-0.514044,-0.388196,0.854533,-1.10551,-1.18505,0.669285
9999.0,9999.0,0.61,9999.0,-0.514044,-0.388196,0.854533,-1.10551,-1.18505,0.669285
9999.0,9999.0,0.61,9999.0,-0.513949,-0.387969,0.854552,-1.09429,-1.19263,0.654112
9999.0,9999.0,0.61,9999.0,-0.513854,-0.387744,0.854571,-1.08307,-1.20012,0.638959
9999.0,9999.0,0.61,9999.0,-0.513761,-0.387522,0.85459,-1.07187,-1.20754,0.623829
9999.0,9999.0,0.61,9999.0,-0.513761,-0.387522,0.85459,-1.07187,-1.20754,0.623829
9999.0,9999.0,0.63,9999.0,-0.513668,-0.387303,0.854607,-1.06069,-1.21486,0.608726
9999.0,9999.0,0.63,9999.0,-0.513577,-0.387086,0.854624,-1.04952,-1.22211,0.593652
9999.0,9999.0,0.63,9999.0,-0.513577,-0.387086,0.854624,-1.04952,-1.22211,0.593652
9999.0,9999.0,0.63,9999.0,-0.513486,-0.386872,0.85464,-1.03837,-1.22927,0.578611
9999.0,9999.0,0.63,9999.0,-0.513397,-0.38666,0.854656,-1.02724,-1.23635,0.563604
9999.0,9999.0,0.63,9999.0,-0.513397,-0.38666,0.854656,-1.02724,-1.23635,0.563604
9999.0,9999.0,0.64,9999.0,-0.513309,-0.38645,0.854671,-1.01613,-1.24334,0.548635
9999.0,9999.0,0.64,9999.0,-0.513309,-0.38645,0.854671,-1.01613,-1.24334,0.548635
9999.0,9999.0,0.64,9999.0,-0.513222,-0.386243,0.854685,-1.00504,-1.25024,0.533707
9999.0,9999.0,0.64,9999.0,-0.513135,-0.386039,0.854699,-0.993984,-1.25706,0.518822
9999.0,9999.0,0.64,9999.0,-0.513135,-0.386039,0.854699,-0.993984,-1.25706,0.518822
9999.0,9999.0,0.64,9999.0,-0.51305,-0.385837,0.854712,-0.982954,-1.26379,0.503984
9999.0,9999.0,0.64,9999.0,-0.512966,-0.385638,0.854725,-0.971953,-1.27044,0.489194
9999.0,9999.0,0.64,9999.0,-0.512966,-0.385638,0.854725,-0.971953,-1.27044,0.489194
9999.0,9999.0,0.64,9999.0,-0.512883,-0.385441,0.854737,-0.960984,-1.277,0.474457
9999.0,9999.0,0.64,9999.0,-0.512802,-0.385247,0.854748,-0.950049,-1.28347,0.459773
9999.0,9999.0,0.64,9999.0,-0.512802,-0.385247,0.854748,-0.950049,-1.28347,0.459773
9999.0,9999.0,0.64,9999.0,-0.512721,-0.385056,0.854759,-0.93915,-1.28986,0.445147
9999.0,9999.0,0.64,9999.0,-0.512641,-0.384867,0.854769,-0.928288,-1.29616,0.430581
9999.0,9999.0,0.63,9999.0,-0.512641,-0.384867,0.854769,-0.928288,-1.29616,0.430581
9999.0,9999.0,0.63,9999.0,-0.512563,-0.38468,0.854779,-0.917467,-1.30237,0.416078
9999.0,9999.0,0.63,9999.0,-0.512486,-0.384497,0.854788,-0.90674,-1.30846,0.401711
9999.0,9999.0,0.63,9999.0,-0.512486,-0.384497,0.854788,-0.90674,-1.30846,0.401711
9999.0,9999.0,0.63,9999.0,-0.51241,-0.384318,0.854797,-0.896114,-1.31444,0.387488
9999.0,9999.0,0.63,9999.0,-0.512336,-0.384141,0.854806,-0.885563,-1.32031,0.373376
9999.0,9999.0,0.63,9999.0,-0.512336,-0.384141,0.854806,-0.885563,-1.32031,0.373376
9999.0,9999.0,0.63,9999.0,-0.512262,-0.383967,0.854813,-0.875074,-1.3261,0.359354
9999.0,9999.0,0.63,9999.0,-0.51219,-0.383796,0.854821,-0.864637,-1.33179,0.345411
9999.0,9999.0,0.63,9999.0,-0.51219,-0.383796,0.854821,-0.864637,-1.33179,0.345411
9999.0,9999.0,0.63,9999.0,-0.512119,-0.383627,0.854828,-0.854247,-1.3374,0.33154
9999.0,9999.0,0.63,9999.0,-0.512119,-0.383627,0.854828,-0.854247,-1.3374,0.33154
9999.0,9999.0,0.6,9999.0,-0.51205,-0.38346,0.854834,-0.843904,-1.34293,0.317739
9999.0,9999.0,0.6,9999.0,-0.511981,-0.383296,0.85484,-0.833606,-1.34838,0.304007
9999.0,9999.0,0.6,9999.0,-0.511981,-0.383296,0.85484,-0.833606,-1.34838,0.304007
9999.0,9999.0,0.6,9999.0,-0.511913,-0.383135,0.854846,-0.823356,-1.35375,0.290346
9999.0,9999.0,0.6,9999.0,-0.511846,-0.382976,0.854851,-0.813154,-1.35905,0.276759
9999.0,9999.0,0.6,9999.0,-0.511781,-0.382819,0.854856,-0.803004,-1.36426,0.263246
9999.0,9999.0,0.6,9999.0,-0.511716,-0.382665,0.854861,-0.792907,-1.36939,0.249813
9999.0,9999.0,0.59,9999.0,-0.511716,-0.382665,0.854861,-0.792907,-1.36939,0.249813
9999.0,9999.0,0.59,9999.0,-0.511653,-0.382513,0.854865,-0.782865,-1.37445,0.236461
9999.0,9999.0,0.59,9999.0,-0.511653,-0.382513,0.854865,-0.782865,-1.37445,0.236461
9999.0,9999.0,0.59,9999.0,-0.51159,-0.382363,0.854869,-0.772883,-1.37942,0.223193
9999.0,9999.0,0.59,9999.0,-0.511529,-0.382216,0.854873,-0.762962,-1.38432,0.210014
9999.0,9999.0,0.59,9999.0,-0.511529,-0.382216,0.854873,-0.762962,-1.38432,0.210014
9999.0,9999.0,0.57,9999.0,-0.511469,-0.382072,0.854876,-0.753104,-1.38914,0.196926
9999.0,9999.0,0.57,9999.0,-0.511469,-0.382072,0.854876,-0.753104,-1.38914,0.196926
9999.0,9999.0,0.57,9999.0,-0.51141,-0.381929,0.854879,-0.743314,-1.39387,0.183933
9999.0,9999.0,0.57,9999.0,-0.511352,-0.38179,0.854881,-0.733592,-1.39853,0.171036
9999.0,9999.0,0.57,9999.0,-0.511352,-0.38179,0.854881,-0.733592,-1.39853,0.171036
9999.0,9999.0,0.57,9999.0,-0.511295,-0.381653,0.854883,-0.723942,-1.4031,0.15824
9999.0,9999.0,0.55,9999.0,-0.51124,-0.381518,0.854885,-0.714367,-1.4076,0.145547
9999.0,9999.0,0.55,9999.0,-0.51124,-0.381518,0.854885,-0.714367,-1.4076,0.145547
9999.0,9999.0,0.55,9999.0,-0.511185,-0.381386,0.854887,-0.704868,-1.41202,0.132959
